Sp+AOk-cification,Interventions,+AKAAoACg-Accidents de la circulation,+AKAAoACg-Autres accidents,+AKAAoACg-Transports de malades,+AKAAoACg-Autres interventions,+ACI-+AKAAoACg-Exercices, entretien et divers+ACI-,Kilom+AOg-tres parcourus
1962,303,24,48,89,89,53,10981
1965,1512,103,210,777,266,156,49981
1970,4018,342,695,2312,421,248,111796
1980,13318,1105,2056,8868,811,478,517163
1985,19470,1119,2369,14553,917,512,683074
1986,20693,1181,2502,15568,922,520,735771
1987,20960,1005,2715,15576,1143,521,757818
1988,21110,1157,2717,15615,1111,510,759263
1989,22881,1186,2754,17080,1287,574,864214
1990,21492,1222,2913,15586,1272,499,793561
1991,23671,1311,3099,17442,1301,518,879710
1992,25159,1352,3141,18770,1400,496,898491
1993,25025,1230,3255,18519,1517,504,879581
1994,25573,1236,3298,18918,1574,547,926573
1995,27908,1277,3760,20610,1688,573,1019894
1996,28622,1249,4093,21058,1640,582,975567
1997,26286,1339,4100,18608,1664,575,871571
1998,25174,1390,4063,17467,1679,575,837647
1999,26525,1612,4572,18109,1724,508,856249
2000,26924,1586,4690,18303,1779,566,860361
2001,27409,1677,4612,18760,1876,484,856198
2002,27929,1566,4791,18911,2190,471,883610
2003,29275,1602,5191,19729,2227,526,926119
2004,28664,1570,5356,18901,2319,518,884147
2005,29321,1678,5428,19300,2380,535,910975
2006,29135,1667,5966,18526,2362,614,892138
2007,29837,1788,5274,19659,2511,605,908569
2008,30623,1456,4708,21608,2259,592,910185
2009,31948,1558,4907,22236,2597,650,966886
2010,33384,1717,5281,22992,,3394,994626
2011,34804,1792,5002,24485,,3525,1065332
2012,35819,1773,5039,25155,,3852,1104640
2013,36376,1808,4830,25646,,4092,1115882
2014,36460,1678,4986,25667,,4129,1018977
2015,36850,1673,5068,25949,,4160,1310754
2016,38467,,,,,,1391358
